Timestamp,goes_class,label,present,bin
2016-12-28 04:00:00,,0.0,1,0
2015-10-22 23:00:00,B9.3,1.9684829485539348,1,1
2014-12-14 15:00:00,M1.6,3.204119982655925,1,3
2010-12-10 12:00:00,B4.0,1.6020599913279625,1,1
2011-12-28 08:00:00,C7.3,2.863322860120456,1,2
2016-12-27 23:00:00,,0.0,1,0
2017-10-14 20:00:00,,0.0,1,0
2016-10-27 21:00:00,B3.1,1.4913616938342722,1,1
2014-11-11 12:00:00,C6.3,2.7993405494535812,1,2
2014-12-24 21:00:00,C4.3,2.633468455579586,1,2
2013-10-11 00:00:00,M1.5,3.1760912590556813,1,3
2016-10-15 20:00:00,B7.5,1.8750612633917,1,1
2017-10-18 20:00:00,,0.0,1,0
2012-10-25 05:00:00,C1.3,2.113943352306837,1,2
2018-12-22 13:00:00,,0.0,1,0
2016-12-29 21:00:00,B2.2,1.3424226808222066,1,1
2018-11-16 10:00:00,,0.0,1,0
2016-11-20 12:00:00,B1.2,1.079181246047625,1,1
2016-12-28 07:00:00,,0.0,1,0
2017-11-17 11:00:00,,0.0,1,0
2012-12-22 03:00:00,C1.9,2.278753600952829,1,2
2015-12-10 05:00:00,C3.9,2.5910646070264995,1,2
2015-12-12 18:00:00,C5.3,2.724275869600789,1,2
2016-10-23 23:00:00,,0.0,1,0
2013-12-25 21:00:00,C2.2,2.3424226808222066,1,2
2012-11-27 20:00:00,M1.0,3.0,1,3
2012-11-24 10:00:00,C3.3,2.518513939877887,1,2
2013-11-10 03:00:00,X1.1,4.041392685158225,1,4
2018-10-30 17:00:00,,0.0,1,0
2016-11-16 06:00:00,,0.0,1,0
2014-11-21 20:00:00,C8.1,2.9084850188786495,1,2
2015-11-16 14:00:00,B5.8,1.763427993562937,1,1
2015-12-10 13:00:00,C1.4,2.146128035678238,1,2
2012-12-26 04:00:00,C3.9,2.5910646070264995,1,2
2015-12-18 14:00:00,C3.1,2.491361693834272,1,2
2017-10-28 10:00:00,,0.0,1,0
2013-10-20 13:00:00,C1.7,2.230448921378274,1,2
2018-11-12 23:00:00,,0.0,1,0
2016-11-24 19:00:00,B2.5,1.3979400086720375,1,1
2012-10-17 04:00:00,C7.4,2.8692317197309762,1,2
2011-12-22 00:00:00,C5.4,2.732393759822968,1,2
2012-11-18 17:00:00,C7.0,2.845098040014257,1,2
2014-12-25 08:00:00,C4.3,2.633468455579586,1,2
2017-11-15 16:00:00,B3.7,1.568201724066995,1,1
